id,label,name
0,Crop,"Almonds, in shell"
1,Crop,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
2,Crop,Apples
3,Crop,Apricots
4,Crop,Barley
5,Crop,Butter and ghee of sheep milk
6,Crop,Butter of cow milk
7,Crop,"Buttermilk, dry"
8,Crop,Cantaloupes and other melons
9,Crop,"Cattle fat, unrendered"
10,Crop,"Cheese from milk of goats, fresh or processed"
11,Crop,"Cheese from milk of sheep, fresh or processed"
12,Crop,"Cotton lint, ginned"
13,Crop,Cotton seed
14,Crop,Cottonseed oil
15,Crop,"Edible offal of cattle, fresh, chilled or frozen"
16,Crop,"Edible offal of goat, fresh, chilled or frozen"
17,Crop,"Edible offal of sheep, fresh, chilled or frozen"
18,Crop,"Edible offals of camels and other camelids, fresh, chilled or frozen"
19,Crop,Fat of camels
20,Crop,Figs
21,Crop,"Game meat, fresh, chilled or frozen"
22,Crop,"Goat fat, unrendered"
23,Crop,Grapes
24,Crop,"Hen eggs in shell, fresh"
25,Crop,Linseed
26,Crop,Maize (corn)
27,Crop,"Meat of camels, fresh or chilled"
28,Crop,"Meat of cattle with the bone, fresh or chilled"
29,Crop,"Meat of chickens, fresh or chilled"
30,Crop,"Meat of goat, fresh or chilled"
31,Crop,"Meat of sheep, fresh or chilled"
32,Crop,Millet
33,Crop,Molasses
34,Crop,Mustard seed
35,Crop,Natural honey
36,Crop,Oil of linseed
37,Crop,Oil of sesame seed
38,Crop,Olive oil
39,Crop,Olives
40,Crop,"Onions and shallots, dry (excluding dehydrated)"
41,Crop,Oranges
42,Crop,Other berries and fruits of the genus vaccinium n.e.c.
43,Crop,"Other citrus fruit, n.e.c."
44,Crop,"Other fruits, n.e.c."
45,Crop,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c."
46,Crop,Other pulses n.e.c.
47,Crop,"Other stimulant, spice and aromatic crops, n.e.c."
48,Crop,Other stone fruits
49,Crop,"Other vegetables, fresh n.e.c."
50,Crop,Peaches and nectarines
51,Crop,Pears
52,Crop,"Pistachios, in shell"
53,Crop,Plums and sloes
54,Crop,Potatoes
55,Crop,Raw cane or beet sugar (centrifugal only)
56,Crop,Raw hides and skins of cattle
57,Crop,Raw hides and skins of goats or kids
58,Crop,Raw hides and skins of sheep or lambs
59,Crop,Raw milk of camel
60,Crop,Raw milk of cattle
61,Crop,Raw milk of goats
62,Crop,Raw milk of sheep
63,Crop,Raw silk (not thrown)
64,Crop,Rice
65,Crop,"Seed cotton, unginned"
66,Crop,Sesame seed
67,Crop,"Sheep fat, unrendered"
68,Crop,"Shorn wool, greasy, including fleece-washed shorn wool"
69,Crop,Silk-worm cocoons suitable for reeling
70,Crop,Skim milk of cows
71,Crop,Sugar beet
72,Crop,Sugar cane
73,Crop,Sunflower seed
74,Crop,"Sunflower-seed oil, crude"
75,Crop,"Walnuts, in shell"
76,Crop,Watermelons
77,Crop,Wheat
78,Crop,"Beef and Buffalo Meat, primary"
79,Crop,Butter and Ghee
80,Crop,"Cereals, primary"
81,Crop,Cheese (All Kinds)
82,Crop,"Citrus Fruit, Total"
83,Crop,Eggs Primary
84,Crop,"Fibre Crops, Fibre Equivalent"
85,Crop,Fruit Primary
86,Crop,"Meat, Poultry"
87,Crop,"Meat, Total"
88,Crop,"Milk, Total"
89,Crop,"Oilcrops, Cake Equivalent"
90,Crop,"Oilcrops, Oil Equivalent"
91,Crop,"Pulses, Total"
92,Crop,"Roots and Tubers, Total"
93,Crop,Sheep and Goat Meat
94,Crop,"Skim Milk & Buttermilk, Dry"
95,Crop,Sugar Crops Primary
96,Crop,"Treenuts, Total"
97,Crop,Vegetables Primary
98,Crop,"Beans, dry"
99,Crop,"Beer of barley, malted"
100,Crop,"Broad beans and horse beans, dry"
101,Crop,"Broad beans and horse beans, green"
102,Crop,"Buffalo fat, unrendered"
103,Crop,Cabbages
104,Crop,Carrots and turnips
105,Crop,Cauliflowers and broccoli
106,Crop,Cheese from whole cow milk
107,Crop,Cherries
108,Crop,"Chestnuts, in shell"
109,Crop,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
110,Crop,Cucumbers and gherkins
111,Crop,Dates
112,Crop,"Edible offal of buffalo, fresh, chilled or frozen"
113,Crop,"Edible offal of pigs, fresh, chilled or frozen"
114,Crop,"Edible offals of horses and other equines,  fresh, chilled or frozen"
115,Crop,Eggplants (aubergines)
116,Crop,"Eggs from other birds in shell, fresh, n.e.c."
117,Crop,Fat of pigs
118,Crop,Green garlic
